model,family,condition,div_coeff,subject,n,acc,logpcc,margin,logpcc_ln,margin_ln
GPT2_1.5B_180M_PubMedAbs,GPT2-1.5B,pubmed,0.168,jurisprudence,108,0.250000,-4.855729,-0.029475,-4.855729,-0.029475
GPT2_1.5B_180M_PubMedAbs,GPT2-1.5B,pubmed,0.168,logical_fallacies,163,0.220859,-4.611804,-0.086194,-4.611804,-0.086194
GPT2_1.5B_180M_PubMedAbs,GPT2-1.5B,pubmed,0.168,machine_learning,112,0.321429,-4.225741,0.046575,-4.225741,0.046575
GPT2_1.5B_180M_PubMedAbs,GPT2-1.5B,pubmed,0.168,management,103,0.184466,-4.626761,-0.084051,-4.626761,-0.084051
GPT2_1.5B_180M_PubMedAbs,GPT2-1.5B,pubmed,0.168,marketing,234,0.290598,-4.432706,0.058346,-4.432706,0.058346
GPT2_1.5B_180M_PubMedAbs,GPT2-1.5B,pubmed,0.168,medical_genetics,100,0.240000,-4.017776,0.045287,-4.017776,0.045287
GPT2_1.5B_180M_PubMedAbs,GPT2-1.5B,pubmed,0.168,miscellaneous,783,0.232439,-4.234639,-0.023864,-4.234639,-0.023864
GPT2_1.5B_180M_PubMedAbs,GPT2-1.5B,pubmed,0.168,moral_disputes,346,0.245665,-4.918485,0.000367,-4.918485,0.000367
GPT2_1.5B_180M_PubMedAbs,GPT2-1.5B,pubmed,0.168,moral_scenarios,895,0.237989,-4.601406,-0.017572,-4.601406,-0.017572
GPT2_1.5B_180M_PubMedAbs,GPT2-1.5B,pubmed,0.168,nutrition,306,0.245098,-4.370357,0.005531,-4.370357,0.005531
GPT2_1.5B_180M_PubMedAbs,GPT2-1.5B,pubmed,0.168,philosophy,311,0.186495,-4.910535,-0.126447,-4.910535,-0.126447
GPT2_1.5B_180M_PubMedAbs,GPT2-1.5B,pubmed,0.168,prehistory,324,0.222222,-4.326946,-0.063914,-4.326946,-0.063914
GPT2_1.5B_180M_PubMedAbs,GPT2-1.5B,pubmed,0.168,professional_accounting,282,0.255319,-4.369789,-0.009358,-4.369789,-0.009358
GPT2_1.5B_180M_PubMedAbs,GPT2-1.5B,pubmed,0.168,professional_law,1534,0.244459,-4.667968,-0.022641,-4.667968,-0.022641
GPT2_1.5B_180M_PubMedAbs,GPT2-1.5B,pubmed,0.168,professional_medicine,272,0.198529,-4.326572,-0.113751,-4.326572,-0.113751
GPT2_1.5B_180M_PubMedAbs,GPT2-1.5B,pubmed,0.168,professional_psychology,612,0.248366,-4.673187,-0.023817,-4.673187,-0.023817
GPT2_1.5B_180M_PubMedAbs,GPT2-1.5B,pubmed,0.168,public_relations,110,0.218182,-4.513683,-0.045561,-4.513683,-0.045561
GPT2_1.5B_180M_PubMedAbs,GPT2-1.5B,pubmed,0.168,security_studies,245,0.191837,-5.040384,0.062061,-5.040384,0.062061
GPT2_1.5B_180M_PubMedAbs,GPT2-1.5B,pubmed,0.168,sociology,201,0.248756,-4.717475,0.048712,-4.717475,0.048712
GPT2_1.5B_180M_PubMedAbs,GPT2-1.5B,pubmed,0.168,us_foreign_policy,100,0.280000,-4.657198,0.067428,-4.657198,0.067428
GPT2_1.5B_180M_PubMedAbs,GPT2-1.5B,pubmed,0.168,virology,166,0.307229,-4.076336,0.156220,-4.076336,0.156220
GPT2_1.5B_180M_PubMedAbs,GPT2-1.5B,pubmed,0.168,world_religions,171,0.321637,-4.300695,0.114027,-4.300695,0.114027
GPT2_1.5B_180M_USPTO,GPT2-1.5B,uspto,0.158,abstract_algebra,100,0.210000,-4.657894,-0.052877,-4.657894,-0.052877
GPT2_1.5B_180M_USPTO,GPT2-1.5B,uspto,0.158,anatomy,135,0.185185,-5.795890,-0.238243,-5.795890,-0.238243
GPT2_1.5B_180M_USPTO,GPT2-1.5B,uspto,0.158,astronomy,152,0.171053,-5.602007,-0.004822,-5.602007,-0.004822
GPT2_1.5B_180M_USPTO,GPT2-1.5B,uspto,0.158,business_ethics,100,0.300000,-5.306521,0.059677,-5.306521,0.059677
GPT2_1.5B_180M_USPTO,GPT2-1.5B,uspto,0.158,clinical_knowledge,265,0.218868,-5.731640,-0.106771,-5.731640,-0.106771
GPT2_1.5B_180M_USPTO,GPT2-1.5B,uspto,0.158,college_biology,144,0.250000,-5.217750,0.030900,-5.217750,0.030900
GPT2_1.5B_180M_USPTO,GPT2-1.5B,uspto,0.158,college_chemistry,100,0.210000,-4.793662,-0.046714,-4.793662,-0.046714
GPT2_1.5B_180M_USPTO,GPT2-1.5B,uspto,0.158,college_computer_science,100,0.250000,-5.091508,0.112291,-5.091508,0.112291
GPT2_1.5B_180M_USPTO,GPT2-1.5B,uspto,0.158,college_mathematics,100,0.200000,-5.015352,-0.113754,-5.015352,-0.113754
GPT2_1.5B_180M_USPTO,GPT2-1.5B,uspto,0.158,college_medicine,173,0.213873,-5.510987,-0.030889,-5.510987,-0.030889
GPT2_1.5B_180M_USPTO,GPT2-1.5B,uspto,0.158,college_physics,102,0.215686,-4.957740,-0.039218,-4.957740,-0.039218
GPT2_1.5B_180M_USPTO,GPT2-1.5B,uspto,0.158,computer_security,100,0.290000,-5.256354,0.108559,-5.256354,0.108559
GPT2_1.5B_180M_USPTO,GPT2-1.5B,uspto,0.158,conceptual_physics,235,0.255319,-5.533995,-0.030267,-5.533995,-0.030267
GPT2_1.5B_180M_USPTO,GPT2-1.5B,uspto,0.158,econometrics,114,0.245614,-5.491937,0.006641,-5.491937,0.006641
GPT2_1.5B_180M_USPTO,GPT2-1.5B,uspto,0.158,electrical_engineering,145,0.234483,-5.208603,0.006019,-5.208603,0.006019
GPT2_1.5B_180M_USPTO,GPT2-1.5B,uspto,0.158,elementary_mathematics,378,0.211640,-4.973144,-0.115632,-4.973144,-0.115632
GPT2_1.5B_180M_USPTO,GPT2-1.5B,uspto,0.158,formal_logic,126,0.293651,-4.477471,0.083602,-4.477471,0.083602
GPT2_1.5B_180M_USPTO,GPT2-1.5B,uspto,0.158,global_facts,100,0.190000,-5.384011,-0.218167,-5.384011,-0.218167
GPT2_1.5B_180M_USPTO,GPT2-1.5B,uspto,0.158,high_school_biology,310,0.174194,-5.560081,-0.243159,-5.560081,-0.243159
GPT2_1.5B_180M_USPTO,GPT2-1.5B,uspto,0.158,high_school_chemistry,203,0.172414,-5.023518,-0.159831,-5.023518,-0.159831
GPT2_1.5B_180M_USPTO,GPT2-1.5B,uspto,0.158,high_school_computer_science,100,0.250000,-5.310010,0.168164,-5.310010,0.168164
GPT2_1.5B_180M_USPTO,GPT2-1.5B,uspto,0.158,high_school_european_history,165,0.218182,-5.724396,-0.035609,-5.724396,-0.035609
GPT2_1.5B_180M_USPTO,GPT2-1.5B,uspto,0.158,high_school_geography,198,0.176768,-6.261245,-0.224918,-6.261245,-0.224918
GPT2_1.5B_180M_USPTO,GPT2-1.5B,uspto,0.158,high_school_government_and_politics,193,0.196891,-6.062088,-0.167455,-6.062088,-0.167455
GPT2_1.5B_180M_USPTO,GPT2-1.5B,uspto,0.158,high_school_macroeconomics,390,0.200000,-5.994134,-0.113845,-5.994134,-0.113845
GPT2_1.5B_180M_USPTO,GPT2-1.5B,uspto,0.158,high_school_mathematics,270,0.211111,-5.163660,-0.109955,-5.163660,-0.109955
GPT2_1.5B_180M_USPTO,GPT2-1.5B,uspto,0.158,high_school_microeconomics,238,0.210084,-6.084326,-0.147059,-6.084326,-0.147059
GPT2_1.5B_180M_USPTO,GPT2-1.5B,uspto,0.158,high_school_physics,151,0.211921,-5.228266,0.018707,-5.228266,0.018707
GPT2_1.5B_180M_USPTO,GPT2-1.5B,uspto,0.158,high_school_psychology,545,0.194495,-5.793486,-0.185931,-5.793486,-0.185931
GPT2_1.5B_180M_USPTO,GPT2-1.5B,uspto,0.158,high_school_statistics,216,0.148148,-5.726905,-0.277395,-5.726905,-0.277395
GPT2_1.5B_180M_USPTO,GPT2-1.5B,uspto,0.158,high_school_us_history,204,0.250000,-5.873295,0.060909,-5.873295,0.060909
GPT2_1.5B_180M_USPTO,GPT2-1.5B,uspto,0.158,high_school_world_history,237,0.270042,-5.910021,0.055056,-5.910021,0.055056
GPT2_1.5B_180M_USPTO,GPT2-1.5B,uspto,0.158,human_aging,223,0.313901,-5.462089,0.035294,-5.462089,0.035294
GPT2_1.5B_180M_USPTO,GPT2-1.5B,uspto,0.158,human_sexuality,131,0.259542,-5.534088,0.047526,-5.534088,0.047526
GPT2_1.5B_180M_USPTO,GPT2-1.5B,uspto,0.158,international_law,121,0.239669,-5.578370,0.017234,-5.578370,0.017234
GPT2_1.5B_180M_USPTO,GPT2-1.5B,uspto,0.158,jurisprudence,108,0.259259,-6.274050,-0.021992,-6.274050,-0.021992
GPT2_1.5B_180M_USPTO,GPT2-1.5B,uspto,0.158,logical_fallacies,163,0.220859,-5.529985,-0.043884,-5.529985,-0.043884
GPT2_1.5B_180M_USPTO,GPT2-1.5B,uspto,0.158,machine_learning,112,0.321429,-4.762437,0.149291,-4.762437,0.149291
GPT2_1.5B_180M_USPTO,GPT2-1.5B,uspto,0.158,management,103,0.174757,-6.173753,-0.385455,-6.173753,-0.385455
GPT2_1.5B_180M_USPTO,GPT2-1.5B,uspto,0.158,marketing,234,0.290598,-6.543471,0.176816,-6.543471,0.176816
GPT2_1.5B_180M_USPTO,GPT2-1.5B,uspto,0.158,medical_genetics,100,0.300000,-5.085557,0.105149,-5.085557,0.105149
GPT2_1.5B_180M_USPTO,GPT2-1.5B,uspto,0.158,miscellaneous,783,0.237548,-5.727758,-0.078293,-5.727758,-0.078293
GPT2_1.5B_180M_USPTO,GPT2-1.5B,uspto,0.158,moral_disputes,346,0.251445,-6.191169,-0.003229,-6.191169,-0.003229
GPT2_1.5B_180M_USPTO,GPT2-1.5B,uspto,0.158,moral_scenarios,895,0.237989,-5.473949,-0.019437,-5.473949,-0.019437
GPT2_1.5B_180M_USPTO,GPT2-1.5B,uspto,0.158,nutrition,306,0.225490,-5.319340,-0.018677,-5.319340,-0.018677
GPT2_1.5B_180M_USPTO,GPT2-1.5B,uspto,0.158,philosophy,311,0.186495,-6.465280,-0.200679,-6.465280,-0.200679
GPT2_1.5B_180M_USPTO,GPT2-1.5B,uspto,0.158,prehistory,324,0.219136,-6.236443,-0.097608,-6.236443,-0.097608
GPT2_1.5B_180M_USPTO,GPT2-1.5B,uspto,0.158,professional_accounting,282,0.234043,-5.790504,-0.022662,-5.790504,-0.022662
GPT2_1.5B_180M_USPTO,GPT2-1.5B,uspto,0.158,professional_law,1534,0.245763,-6.361440,0.010837,-6.361440,0.010837
GPT2_1.5B_180M_USPTO,GPT2-1.5B,uspto,0.158,professional_medicine,272,0.183824,-4.873046,-0.036338,-4.873046,-0.036338
GPT2_1.5B_180M_USPTO,GPT2-1.5B,uspto,0.158,professional_psychology,612,0.250000,-5.835454,0.010735,-5.835454,0.010735
GPT2_1.5B_180M_USPTO,GPT2-1.5B,uspto,0.158,public_relations,110,0.218182,-6.193311,-0.384416,-6.193311,-0.384416
GPT2_1.5B_180M_USPTO,GPT2-1.5B,uspto,0.158,security_studies,245,0.187755,-6.410850,-0.062852,-6.410850,-0.062852
GPT2_1.5B_180M_USPTO,GPT2-1.5B,uspto,0.158,sociology,201,0.243781,-6.030468,0.063889,-6.030468,0.063889
GPT2_1.5B_180M_USPTO,GPT2-1.5B,uspto,0.158,us_foreign_policy,100,0.280000,-5.877169,0.113360,-5.877169,0.113360
GPT2_1.5B_180M_USPTO,GPT2-1.5B,uspto,0.158,virology,166,0.283133,-5.322326,0.038131,-5.322326,0.038131
GPT2_1.5B_180M_USPTO,GPT2-1.5B,uspto,0.158,world_religions,171,0.321637,-5.427777,0.407323,-5.427777,0.407323
GPT2_1.5B_180M_USPTOAndPubMedAbs,GPT2-1.5B,mix,0.195,abstract_algebra,100,0.210000,-4.845166,-0.079016,-4.845166,-0.079016
GPT2_1.5B_180M_USPTOAndPubMedAbs,GPT2-1.5B,mix,0.195,anatomy,135,0.177778,-5.443776,-0.084807,-5.443776,-0.084807
GPT2_1.5B_180M_USPTOAndPubMedAbs,GPT2-1.5B,mix,0.195,astronomy,152,0.197368,-5.761036,-0.034350,-5.761036,-0.034350
GPT2_1.5B_180M_USPTOAndPubMedAbs,GPT2-1.5B,mix,0.195,business_ethics,100,0.300000,-5.373247,0.014052,-5.373247,0.014052
GPT2_1.5B_180M_USPTOAndPubMedAbs,GPT2-1.5B,mix,0.195,clinical_knowledge,265,0.218868,-5.658336,-0.097056,-5.658336,-0.097056
GPT2_1.5B_180M_USPTOAndPubMedAbs,GPT2-1.5B,mix,0.195,college_biology,144,0.250000,-5.125423,0.074282,-5.125423,0.074282
GPT2_1.5B_180M_USPTOAndPubMedAbs,GPT2-1.5B,mix,0.195,college_chemistry,100,0.180000,-5.131609,-0.118885,-5.131609,-0.118885
GPT2_1.5B_180M_USPTOAndPubMedAbs,GPT2-1.5B,mix,0.195,college_computer_science,100,0.250000,-5.610353,0.072387,-5.610353,0.072387
GPT2_1.5B_180M_USPTOAndPubMedAbs,GPT2-1.5B,mix,0.195,college_mathematics,100,0.210000,-5.376166,-0.180022,-5.376166,-0.180022
GPT2_1.5B_180M_USPTOAndPubMedAbs,GPT2-1.5B,mix,0.195,college_medicine,173,0.213873,-5.513657,-0.034037,-5.513657,-0.034037
GPT2_1.5B_180M_USPTOAndPubMedAbs,GPT2-1.5B,mix,0.195,college_physics,102,0.215686,-5.310841,0.001581,-5.310841,0.001581
GPT2_1.5B_180M_USPTOAndPubMedAbs,GPT2-1.5B,mix,0.195,computer_security,100,0.290000,-5.437790,0.100662,-5.437790,0.100662
GPT2_1.5B_180M_USPTOAndPubMedAbs,GPT2-1.5B,mix,0.195,conceptual_physics,235,0.263830,-5.658745,-0.132986,-5.658745,-0.132986
GPT2_1.5B_180M_USPTOAndPubMedAbs,GPT2-1.5B,mix,0.195,econometrics,114,0.236842,-5.907141,-0.050753,-5.907141,-0.050753
GPT2_1.5B_180M_USPTOAndPubMedAbs,GPT2-1.5B,mix,0.195,electrical_engineering,145,0.241379,-5.318607,0.074503,-5.318607,0.074503
GPT2_1.5B_180M_USPTOAndPubMedAbs,GPT2-1.5B,mix,0.195,elementary_mathematics,378,0.203704,-5.569573,-0.133339,-5.569573,-0.133339
GPT2_1.5B_180M_USPTOAndPubMedAbs,GPT2-1.5B,mix,0.195,formal_logic,126,0.277778,-4.907623,0.128038,-4.907623,0.128038
GPT2_1.5B_180M_USPTOAndPubMedAbs,GPT2-1.5B,mix,0.195,global_facts,100,0.180000,-6.063932,-0.205617,-6.063932,-0.205617
GPT2_1.5B_180M_USPTOAndPubMedAbs,GPT2-1.5B,mix,0.195,high_school_biology,310,0.190323,-5.372553,-0.154720,-5.372553,-0.154720
GPT2_1.5B_180M_USPTOAndPubMedAbs,GPT2-1.5B,mix,0.195,high_school_chemistry,203,0.152709,-5.498477,-0.263322,-5.498477,-0.263322
GPT2_1.5B_180M_USPTOAndPubMedAbs,GPT2-1.5B,mix,0.195,high_school_computer_science,100,0.250000,-5.448435,0.060946,-5.448435,0.060946
GPT2_1.5B_180M_USPTOAndPubMedAbs,GPT2-1.5B,mix,0.195,high_school_european_history,165,0.224242,-5.966438,0.019834,-5.966438,0.019834
GPT2_1.5B_180M_USPTOAndPubMedAbs,GPT2-1.5B,mix,0.195,high_school_geography,198,0.176768,-5.772009,-0.135982,-5.772009,-0.135982
GPT2_1.5B_180M_USPTOAndPubMedAbs,GPT2-1.5B,mix,0.195,high_school_government_and_politics,193,0.196891,-6.109937,-0.119481,-6.109937,-0.119481
GPT2_1.5B_180M_USPTOAndPubMedAbs,GPT2-1.5B,mix,0.195,high_school_macroeconomics,390,0.202564,-5.701457,-0.022089,-5.701457,-0.022089
GPT2_1.5B_180M_USPTOAndPubMedAbs,GPT2-1.5B,mix,0.195,high_school_mathematics,270,0.211111,-5.460538,-0.150980,-5.460538,-0.150980
GPT2_1.5B_180M_USPTOAndPubMedAbs,GPT2-1.5B,mix,0.195,high_school_microeconomics,238,0.210084,-5.850550,-0.066855,-5.850550,-0.066855
GPT2_1.5B_180M_USPTOAndPubMedAbs,GPT2-1.5B,mix,0.195,high_school_physics,151,0.192053,-5.563874,-0.033072,-5.563874,-0.033072
GPT2_1.5B_180M_USPTOAndPubMedAbs,GPT2-1.5B,mix,0.195,high_school_psychology,545,0.190826,-5.619177,-0.159946,-5.619177,-0.159946
GPT2_1.5B_180M_USPTOAndPubMedAbs,GPT2-1.5B,mix,0.195,high_school_statistics,216,0.152778,-5.593396,-0.107836,-5.593396,-0.107836
GPT2_1.5B_180M_USPTOAndPubMedAbs,GPT2-1.5B,mix,0.195,high_school_us_history,204,0.245098,-5.987926,0.025468,-5.987926,0.025468
GPT2_1.5B_180M_USPTOAndPubMedAbs,GPT2-1.5B,mix,0.195,high_school_world_history,237,0.274262,-5.972406,0.037953,-5.972406,0.037953
GPT2_1.5B_180M_USPTOAndPubMedAbs,GPT2-1.5B,mix,0.195,human_aging,223,0.309417,-5.725024,-0.134183,-5.725024,-0.134183
GPT2_1.5B_180M_USPTOAndPubMedAbs,GPT2-1.5B,mix,0.195,human_sexuality,131,0.282443,-5.674512,-0.036188,-5.674512,-0.036188
GPT2_1.5B_180M_USPTOAndPubMedAbs,GPT2-1.5B,mix,0.195,international_law,121,0.239669,-6.071682,0.085878,-6.071682,0.085878
GPT2_1.5B_180M_USPTOAndPubMedAbs,GPT2-1.5B,mix,0.195,jurisprudence,108,0.259259,-5.851373,-0.109873,-5.851373,-0.109873
GPT2_1.5B_180M_USPTOAndPubMedAbs,GPT2-1.5B,mix,0.195,logical_fallacies,163,0.220859,-5.666700,-0.072639,-5.666700,-0.072639
GPT2_1.5B_180M_USPTOAndPubMedAbs,GPT2-1.5B,mix,0.195,machine_learning,112,0.276786,-5.010560,0.005161,-5.010560,0.005161
GPT2_1.5B_180M_USPTOAndPubMedAbs,GPT2-1.5B,mix,0.195,management,103,0.174757,-5.833792,-0.263685,-5.833792,-0.263685
GPT2_1.5B_180M_USPTOAndPubMedAbs,GPT2-1.5B,mix,0.195,marketing,234,0.290598,-5.991944,0.079309,-5.991944,0.079309
GPT2_1.5B_180M_USPTOAndPubMedAbs,GPT2-1.5B,mix,0.195,medical_genetics,100,0.330000,-4.917158,0.090438,-4.917158,0.090438
GPT2_1.5B_180M_USPTOAndPubMedAbs,GPT2-1.5B,mix,0.195,miscellaneous,783,0.240102,-5.647069,-0.061581,-5.647069,-0.061581
GPT2_1.5B_180M_USPTOAndPubMedAbs,GPT2-1.5B,mix,0.195,moral_disputes,346,0.248555,-5.877072,0.023350,-5.877072,0.023350
GPT2_1.5B_180M_USPTOAndPubMedAbs,GPT2-1.5B,mix,0.195,moral_scenarios,895,0.237989,-6.200213,-0.015180,-6.200213,-0.015180
GPT2_1.5B_180M_USPTOAndPubMedAbs,GPT2-1.5B,mix,0.195,nutrition,306,0.228758,-5.428069,0.003908,-5.428069,0.003908
GPT2_1.5B_180M_USPTOAndPubMedAbs,GPT2-1.5B,mix,0.195,philosophy,311,0.186495,-6.133445,-0.152596,-6.133445,-0.152596
GPT2_1.5B_180M_USPTOAndPubMedAbs,GPT2-1.5B,mix,0.195,prehistory,324,0.206790,-5.863077,-0.056583,-5.863077,-0.056583
GPT2_1.5B_180M_USPTOAndPubMedAbs,GPT2-1.5B,mix,0.195,professional_accounting,282,0.237589,-5.927424,-0.052057,-5.927424,-0.052057
GPT2_1.5B_180M_USPTOAndPubMedAbs,GPT2-1.5B,mix,0.195,professional_law,1534,0.245763,-6.251529,0.001946,-6.251529,0.001946
GPT2_1.5B_180M_USPTOAndPubMedAbs,GPT2-1.5B,mix,0.195,professional_medicine,272,0.187500,-5.192852,-0.182212,-5.192852,-0.182212
GPT2_1.5B_180M_USPTOAndPubMedAbs,GPT2-1.5B,mix,0.195,professional_psychology,612,0.251634,-5.778537,0.006800,-5.778537,0.006800
GPT2_1.5B_180M_USPTOAndPubMedAbs,GPT2-1.5B,mix,0.195,public_relations,110,0.218182,-5.943300,-0.284026,-5.943300,-0.284026
GPT2_1.5B_180M_USPTOAndPubMedAbs,GPT2-1.5B,mix,0.195,security_studies,245,0.187755,-5.989377,-0.087473,-5.989377,-0.087473
GPT2_1.5B_180M_USPTOAndPubMedAbs,GPT2-1.5B,mix,0.195,sociology,201,0.243781,-6.242174,0.009111,-6.242174,0.009111
GPT2_1.5B_180M_USPTOAndPubMedAbs,GPT2-1.5B,mix,0.195,us_foreign_policy,100,0.280000,-5.748741,0.148420,-5.748741,0.148420
GPT2_1.5B_180M_USPTOAndPubMedAbs,GPT2-1.5B,mix,0.195,virology,166,0.289157,-5.309004,-0.019992,-5.309004,-0.019992
GPT2_1.5B_180M_USPTOAndPubMedAbs,GPT2-1.5B,mix,0.195,world_religions,171,0.321637,-5.305927,0.330723,-5.305927,0.330723
GPT2_117M_2.2B_PubMedAbs,GPT2-117M,pubmed,0.168,abstract_algebra,100,0.220000,-4.488008,-0.045723,-4.488008,-0.045723
GPT2_117M_2.2B_PubMedAbs,GPT2-117M,pubmed,0.168,anatomy,135,0.185185,-4.189197,-0.158193,-4.189197,-0.158193
GPT2_117M_2.2B_PubMedAbs,GPT2-117M,pubmed,0.168,astronomy,152,0.171053,-4.218968,-0.200363,-4.218968,-0.200363
GPT2_117M_2.2B_PubMedAbs,GPT2-117M,pubmed,0.168,business_ethics,100,0.300000,-4.662110,0.285163,-4.662110,0.285163
GPT2_117M_2.2B_PubMedAbs,GPT2-117M,pubmed,0.168,clinical_knowledge,265,0.218868,-4.058100,-0.081632,-4.058100,-0.081632
GPT2_117M_2.2B_PubMedAbs,GPT2-117M,pubmed,0.168,college_biology,144,0.256944,-3.884125,-0.011650,-3.884125,-0.011650
GPT2_117M_2.2B_PubMedAbs,GPT2-117M,pubmed,0.168,college_chemistry,100,0.190000,-3.828744,-0.156628,-3.828744,-0.156628
GPT2_117M_2.2B_PubMedAbs,GPT2-117M,pubmed,0.168,college_computer_science,100,0.250000,-3.950611,0.045215,-3.950611,0.045215
GPT2_117M_2.2B_PubMedAbs,GPT2-117M,pubmed,0.168,college_mathematics,100,0.210000,-3.950052,-0.093712,-3.950052,-0.093712
GPT2_117M_2.2B_PubMedAbs,GPT2-117M,pubmed,0.168,college_medicine,173,0.208092,-3.964090,-0.056255,-3.964090,-0.056255
